,Name,Latitude,Longitude,Temperature (F),Maximum Temperature(F),Minimum Temperature(F),Humidity (%),Cloudiness (%),Wind Speed (mph)
191,Sambava,-14.27,50.17,74.5,74.5,74.5,83,85,8.79
192,Bislig,8.22,126.28,74.3,74.3,74.3,91,99,3.02
193,Ocean Shores,46.97,-124.16,49.96,51.01,48.2,76,1,6.93
194,Kleinmond,-34.34,19.03,60.58,62.01,59.0,72,75,11.41
195,Mount Gambier,-37.83,140.77,55.4,55.4,55.4,82,90,6.93
196,Balqash,46.85,75.0,15.87,15.87,15.87,96,40,8.03
197,Santa Ana de Yacuma,-13.75,-65.43,98.6,98.6,98.6,44,20,4.7
198,Tasiilaq,65.61,-37.64,24.8,24.8,24.8,68,100,2.24
199,Church Point,30.4,-92.22,67.03,68.0,66.0,67,0,4.0
200,Nadym,65.53,72.52,11.01,11.01,11.01,94,38,14.03
201,Mahesana,23.6,72.4,57.2,57.2,57.2,82,0,6.17
202,Boulia,-22.9,139.9,86.92,86.92,86.92,20,0,17.85
203,Atasu,48.68,71.64,7.77,7.77,7.77,92,75,5.19
204,Humahuaca,-23.21,-65.35,70.68,70.68,70.68,34,3,13.13
205,Kampong Chhnang,12.17,104.55,72.93,72.93,72.93,82,4,2.04
206,Asha,55.0,57.27,21.11,21.11,21.11,90,99,2.46
207,Whitehorse,60.72,-135.05,15.85,17.6,12.99,92,90,24.16
208,Tongliao,43.61,122.27,13.95,13.95,13.95,93,4,7.16
209,Bilibino,68.05,166.44,3.24,3.24,3.24,91,100,1.5
210,Shintoku,43.07,142.83,28.31,28.31,28.31,90,61,19.28
211,Saint John's,47.56,-52.71,30.09,32.0,28.4,79,40,8.05
212,Al Marj,32.49,20.83,60.75,60.75,60.75,66,67,6.89
213,Campos,-21.75,-41.3,75.2,75.2,75.2,94,75,4.7
214,Sabha,27.04,14.43,55.49,55.49,55.49,43,0,11.07
215,Holualoa,19.62,-155.95,74.77,82.4,61.0,74,90,9.17
216,Hearst,49.68,-83.67,10.4,10.4,10.4,78,95,6.93
217,Anchorage,61.22,-149.9,27.72,30.99,24.8,58,90,14.99
218,La Esmeralda,3.17,-65.55,87.24,87.24,87.24,64,33,2.62
219,Garoowe,8.41,48.48,75.76,75.76,75.76,75,12,11.34
220,Mariental,-24.63,17.97,80.6,80.6,80.6,18,0,11.41
221,Itaituba,-4.28,-55.98,80.6,80.6,80.6,88,40,0.51
222,Fortuna,40.6,-124.16,55.58,57.0,53.6,81,75,6.93
223,Adrar,20.5,-10.07,66.94,66.94,66.94,23,99,12.41
224,Tarakan,3.3,117.63,79.39,79.39,79.39,83,100,9.71
225,Les Iles-de-la-Madeleine,47.4,-61.8,41.0,41.0,41.0,86,100,18.34
226,Lagos,6.58,3.75,80.6,80.6,80.6,88,20,5.82
227,Brasilia,-15.78,-47.93,72.28,73.4,71.01,73,75,4.7
228,Puntarenas,9.98,-84.84,77.0,77.0,77.0,78,75,9.17
229,Kavieng,-2.57,150.8,83.8,83.8,83.8,76,100,11.88
230,Killarney,52.05,-9.52,53.6,53.6,53.6,93,90,9.17
231,Saugor,23.83,78.72,55.53,55.53,55.53,40,0,5.97
232,Wunstorf,52.43,9.42,38.32,39.2,37.4,93,75,5.82
233,Pleasanton,37.66,-121.87,59.52,61.0,57.0,62,1,3.36
234,Freetown,8.48,-13.23,82.4,82.4,82.4,78,40,9.17
235,Harper,4.38,-7.72,78.66,78.66,78.66,85,17,6.78
236,Tomah,43.98,-90.5,39.7,41.0,39.0,51,43,1.32
237,Astravyets,54.61,25.96,41.05,44.01,39.2,93,90,11.41
238,Puerto Princesa,9.74,118.74,79.07,79.07,79.07,80,96,9.53
239,Jayapura,-2.53,140.7,75.94,75.94,75.94,89,97,1.43
240,La Entrada,15.05,-88.73,68.0,68.0,68.0,94,90,4.7
241,Spokane,47.62,-117.37,34.77,36.0,33.01,93,90,3.36
242,Labrador City,52.95,-66.91,19.4,19.4,19.4,85,90,3.36
243,Cabo San Lucas,22.89,-109.91,84.67,86.0,84.0,58,5,4.88
244,Brockville,44.58,-75.68,35.38,37.0,34.0,74,90,6.93
245,Marystown,47.17,-55.15,39.0,39.0,39.0,100,2,1.99
246,Castro,-24.79,-50.01,69.67,69.67,69.67,63,0,6.6
247,Pacasmayo,-7.4,-79.57,67.78,67.78,67.78,71,97,16.22
248,Melenki,55.33,41.63,32.11,32.11,32.11,99,98,7.14
249,Orlu,5.79,7.04,76.93,76.93,76.93,80,33,5.3
250,Maroantsetra,-15.43,49.73,72.68,72.68,72.68,82,31,2.57
251,Grand Falls,47.05,-67.74,36.48,37.4,35.6,93,90,8.05
252,Sal Rei,16.18,-22.92,80.6,80.6,80.6,74,0,8.05
253,Paraiso,9.84,-83.87,74.05,75.2,72.0,78,75,10.29
254,Emerald,-23.53,148.17,69.89,70.0,69.8,73,100,6.93
255,Vetluga,57.86,45.78,26.1,26.1,26.1,98,100,8.43
256,Ceiba,18.45,-66.35,83.34,84.2,82.99,66,75,8.05
257,Nova Vicosa,-17.89,-39.37,73.29,73.29,73.29,85,99,12.97
258,Sergach,55.53,45.47,26.22,26.22,26.22,98,100,10.71
259,Fort Bragg,35.14,-79.01,63.72,64.4,62.01,27,1,12.75
260,Saint-Benoit,-21.04,55.72,67.73,73.4,59.0,49,40,6.93
261,Haya,47.15,-1.4,43.32,44.6,42.01,87,0,5.82
262,Imbituba,-28.24,-48.67,77.0,77.0,77.0,65,40,10.29
263,Mamburao,13.25,120.67,74.73,74.73,74.73,75,44,9.4
264,Palana,59.12,159.97,15.75,15.75,15.75,96,100,8.1
265,Oktyabrskiy,54.48,53.47,21.51,21.51,21.51,93,100,12.5
266,Obuase,6.21,-1.66,73.38,73.38,73.38,96,71,2.51
267,Acapulco de Juarez,16.86,-99.89,86.0,86.0,86.0,74,5,8.05
268,Paamiut,61.99,-49.67,23.97,23.97,23.97,83,18,12.41
269,La Paloma,-24.08,-54.52,86.86,86.86,86.86,37,1,4.99
270,Ceduna,-32.12,133.67,50.0,50.0,50.0,93,40,4.7
271,Nieuw Amsterdam,5.88,-55.08,84.2,84.2,84.2,83,40,6.93
272,Campbellton,48.01,-66.67,37.4,37.4,37.4,93,100,12.75
273,Rahimyar Khan,28.42,70.3,59.92,59.92,59.92,38,100,19.24
274,Mezhdurechensk,53.69,88.06,18.09,18.09,18.09,96,99,0.85
275,Kone,-21.06,164.87,78.64,78.64,78.64,65,31,4.72
276,Yoichi,43.2,140.77,32.29,33.01,32.0,87,99,3.0
277,Wick,58.43,-3.08,46.4,46.4,46.4,93,100,10.29
278,Kilosa,-6.83,36.98,72.64,72.64,72.64,87,2,4.0
279,Dholka,22.72,72.47,57.2,57.2,57.2,82,0,5.73
280,Mahibadhoo,3.78,72.97,82.04,82.04,82.04,73,28,9.64
281,Panaba,21.28,-88.27,76.06,76.06,76.06,86,34,10.47
282,Peace River,56.25,-117.29,17.6,17.6,17.6,92,90,8.05
283,Reggane,26.72,0.17,58.17,58.17,58.17,36,0,11.83
284,Puerto Baquerizo Moreno,-0.9,-89.6,80.6,80.6,80.6,65,20,16.11
285,Tell City,37.95,-86.77,50.68,52.0,50.0,61,1,3.36
286,Canada de Gomez,-32.82,-61.39,96.89,98.01,95.0,24,0,4.0
287,Bremerton,47.57,-122.63,45.19,46.99,43.0,93,90,3.36
288,Iola,37.92,-95.4,46.67,50.0,44.01,81,100,4.7
289,Bahia Honda,22.9,-83.16,78.55,78.55,78.55,75,6,12.41
290,Exmouth,50.62,-3.4,51.33,53.01,50.0,94,91,14.36
291,Iwai,36.05,139.9,52.61,55.0,51.01,16,98,6.31
292,Xingyi,24.19,102.82,47.55,47.55,47.55,96,6,2.91
293,Nassau,40.75,-73.58,46.58,48.2,45.0,45,1,19.46
294,Kibiti,-7.72,38.94,70.11,70.11,70.11,94,0,2.93
295,Olinda,-8.01,-34.86,78.8,78.8,78.8,69,75,11.41
296,Ormond-by-the-Sea,29.35,-81.07,71.62,73.4,70.0,60,1,11.41
297,Ust'-Ilimsk,58.0,102.66,7.7,7.7,7.7,95,99,3.33
298,Pavlodar,52.3,76.95,23.0,23.0,23.0,92,90,2.24
299,Dryden,49.78,-92.75,14.0,14.0,14.0,72,40,12.75
300,Wyndham,37.7,-77.61,54.45,55.99,53.01,35,1,13.87
301,Lhasa,29.65,91.1,25.63,25.63,25.63,84,29,4.25
302,Cayenne,4.93,-52.33,82.4,82.4,82.4,74,40,10.29
303,Manteo,35.91,-75.68,58.12,59.0,57.0,58,1,17.22
304,Biak,-0.91,122.88,78.78,78.78,78.78,75,100,2.3
305,Tidjikja,18.56,-11.43,71.96,71.96,71.96,21,97,13.22
306,Lavrentiya,65.58,-171.0,26.4,26.4,26.4,93,7,2.93
307,Aldan,58.6,125.39,5.38,5.38,5.38,94,100,8.75
308,Capljina,43.12,17.68,41.0,41.0,41.0,75,0,1.12
309,Prairie du Chien,43.05,-91.14,41.0,41.0,41.0,48,1,3.15
310,Camocim,-2.9,-40.84,81.7,81.7,81.7,73,42,16.98
311,Huarmey,-10.07,-78.15,69.3,69.3,69.3,67,42,11.81
312,Bangalore,12.98,77.6,66.2,66.2,66.2,100,40,1.12
313,Orel,52.97,36.08,34.92,34.92,34.92,95,100,13.02
314,Weihai,37.5,122.11,43.41,43.41,43.41,63,100,6.53
315,Cannonvale,-20.28,148.7,70.7,75.2,66.2,83,27,3.36
316,Thinadhoo,0.53,72.93,81.66,81.66,81.66,75,63,10.0
317,Viana do Castelo,41.69,-8.83,51.75,54.0,48.2,100,100,4.16
318,Lethem,3.38,-59.8,86.47,86.47,86.47,64,62,5.3
319,Gornozavodsk,58.38,58.32,17.65,17.65,17.65,97,100,6.62
320,Haiku-Pauwela,20.92,-156.31,74.66,80.6,72.0,61,40,21.92
321,Jaynagar-Majilpur,22.18,88.42,60.8,60.8,60.8,77,29,7.05
322,Lata,40.16,-8.33,50.49,52.0,48.99,90,100,1.88
323,Keflavik,64.0,-22.56,29.98,32.0,26.6,84,75,12.75
324,Brookings,44.31,-96.8,37.76,37.99,37.4,64,90,23.04
325,Sinnamary,5.38,-52.95,79.81,79.81,79.81,82,82,11.86
326,Ghanzi,-21.57,21.78,80.33,80.33,80.33,48,3,12.71
327,Prince Rupert,54.32,-130.32,41.4,42.8,39.2,86,90,14.99
328,Praya,14.92,-23.51,78.8,78.8,78.8,54,75,9.17
329,Kulebaki,55.41,42.53,28.2,28.2,28.2,98,87,5.82
330,Funafuti,-8.52,179.19,84.2,84.2,84.2,62,75,6.93
331,Ciudad Victoria,23.73,-99.13,80.6,80.6,80.6,36,20,2.24
332,Neiafu,-18.65,-173.98,75.2,75.2,75.2,94,75,4.7
333,Saskylakh,71.92,114.08,2.48,2.48,2.48,93,82,4.29
334,La Sarre,48.8,-79.2,18.5,18.5,18.5,95,100,12.28
335,Kaitaia,-35.11,173.26,57.99,57.99,57.99,93,100,3.0
336,La Asuncion,11.03,-63.86,87.8,87.8,87.8,62,96,16.11
337,Camabatela,-8.19,15.38,64.72,64.72,64.72,100,100,3.87
338,Whitby,54.49,-0.61,46.27,46.99,46.0,85,100,8.01
339,Deschutes River Woods,43.99,-121.36,42.19,44.6,37.0,56,75,12.75
340,Zhoushan,30.01,122.2,52.0,52.0,52.0,97,99,8.7
341,Meru,0.05,37.66,61.0,61.0,61.0,88,20,2.26
342,Zhangshu,28.06,115.54,47.59,47.59,47.59,81,100,6.55
343,New Plymouth,-39.07,174.08,56.1,61.0,52.0,73,100,4.0
344,Canoinhas,-26.18,-50.39,74.7,74.7,74.7,51,0,3.11
345,Chernyshevskiy,63.01,112.47,-1.41,-1.41,-1.41,93,53,4.79
346,Fujin,47.26,132.03,14.43,14.43,14.43,93,0,11.43
347,Gander,48.97,-54.59,26.6,26.6,26.6,68,75,11.41
348,Yakutsk,62.03,129.73,-16.6,-16.6,-16.6,75,40,4.07
349,Birdsville,-25.9,139.37,77.0,77.0,77.0,36,38,12.75
350,Ust'-Ordynskiy,52.8,104.75,28.4,28.4,28.4,92,75,8.95
351,Qift,26.0,32.82,64.4,64.4,64.4,45,0,1.99
352,Al Ghardaqah,27.26,33.81,68.0,68.0,68.0,60,0,5.82
353,Sekondi,4.94,-1.71,78.8,78.8,78.8,84,55,6.42
354,Sawahlunto,-0.67,100.81,70.95,70.95,70.95,92,100,1.25
355,Udachnyy,66.42,112.4,6.8,6.8,6.8,84,90,4.47
356,Manta,-0.95,-80.73,73.4,73.4,73.4,83,75,13.87
357,Sumbe,-11.21,13.84,76.77,76.77,76.77,84,100,5.93
358,Nefteyugansk,61.1,72.6,17.6,17.6,17.6,72,0,8.95
359,Ochi,33.53,133.25,48.25,48.25,48.25,78,7,4.61
360,Cholpon-Ata,42.65,77.08,23.0,23.0,23.0,41,40,6.71
361,Ufa,54.77,56.04,21.11,21.2,21.0,67,75,8.95
362,Carnarvon,-24.87,113.63,71.6,71.6,71.6,100,0,11.41
363,Basseterre,17.29,-62.73,82.27,82.4,82.0,74,20,10.29
364,Sola,-13.88,167.55,78.62,78.62,78.62,85,21,7.36
365,Cacheu,12.27,-16.17,78.8,78.8,78.8,83,0,6.69
366,Anadyr,64.75,177.48,26.6,26.6,26.6,86,75,4.47
367,Vendas Novas,38.68,-8.46,55.83,60.01,53.6,93,0,2.24
368,Guarapuava,-25.4,-51.46,73.18,73.18,73.18,51,2,3.62
369,Faya,18.39,42.45,58.1,59.0,57.2,87,0,1.54
370,Fuzhou,26.06,119.31,62.6,62.6,62.6,82,90,6.71
